회차,추첨일,1등 당첨자수,1등 당첨금액,2등 당첨자수,2등 당첨금액,3등 당첨자수,3등 당첨금액,4등 당첨자수,4등 당첨금액,5등 당첨자수,53등 당첨금액,1번,2번,3번,4번,5번,6번,보너스
774,2017.09.30,11,"1,709,721,512원",60,"52,241,491원",1956,"1,602,500원",101524,"50,000원",1704279,"5,000원",12,15,18,28,34,42,9
773,2017.09.23,11,"1,609,403,080원",58,"50,871,937원",2094,"1,409,061원",104474,"50,000원",1690404,"5,000원",8,12,19,21,31,35,44
772,2017.09.16,10,"1,769,608,838원",53,"55,648,077원",2027,"1,455,032원",103023,"50,000원",1688350,"5,000원",5,6,11,14,21,41,32
771,2017.09.09,4,"4,362,644,907원",49,"59,355,714원",2054,"1,415,984원",102013,"50,000원",1680976,"5,000원",6,10,17,18,21,29,30
770,2017.09.02,8,"2,163,099,329원",75,"38,455,100원",2302,"1,252,882원",108450,"50,000원",1717526,"5,000원",1,9,12,23,39,43,34
769,2017.08.26,9,"1,930,760,042원",55,"52,657,093원",1962,"1,476,117원",99272,"50,000원",1660799,"5,000원",5,7,11,16,41,45,4
768,2017.08.19,13,"1,363,572,260원",53,"55,743,521원",1849,"1,597,841원",93126,"50,000원",1572387,"5,000원",7,27,29,30,38,44,4
767,2017.08.12,15,"1,163,768,725원",46,"63,248,301원",1905,"1,527,256원",92437,"50,000원",1549115,"5,000원",5,15,20,31,34,42,22
766,2017.08.05,8,"2,173,637,297원",41,"70,687,392원",1734,"1,671,386원",85422,"50,000원",1458764,"5,000원",9,30,34,35,39,41,21
765,2017.07.29,15,"1,109,214,250원",54,"51,352,512원",2121,"1,307,419원",101653,"50,000원",1643849,"5,000원",1,3,8,12,42,43,33
764,2017.07.22,7,"2,459,975,465원",44,"65,226,623원",1908,"1,504,178원",90896,"50,000원",1530979,"5,000원",7,22,24,31,34,36,15
763,2017.07.15,8,"2,138,130,000원",45,"63,352,000원",2019,"1,412,006원",94176,"50,000원",1562106,"5,000원",3,8,16,32,34,43,10
762,2017.07.08,10,"1,631,432,063원",53,"51,302,896원",2044,"1,330,261원",103406,"50,000원",1671344,"5,000원",1,3,12,21,26,41,16
761,2017.07.01,7,"2,392,730,518원",52,"53,683,057원",2139,"1,305,058원",101503,"50,000원",1660130,"5,000원",4,7,11,24,42,45,30
760,2017.06.24,8,"2,253,299,391원",45,"66,764,427원",1749,"1,717,782원",89221,"50,000원",1520831,"5,000원",10,22,27,31,42,43,12
759,2017.06.17,6,"3,032,670,500원",44,"68,924,330원",1761,"1,722,130원",88543,"50,000원",1525518,"5,000원",9,33,36,40,42,43,32
758,2017.06.10,8,"2,078,969,954원",63,"43,999,365원",2170,"1,277,401원",106121,"50,000원",1680080,"5,000원",5,9,12,30,39,43,24
757,2017.06.03,21,"739,839,858원",68,"38,079,993원",2657,"974,573원",117353,"50,000원",1788667,"5,000원",6,7,11,17,33,44,1
756,2017.05.27,5,"3,414,434,700원",53,"53,686,081원",1866,"1,524,846원",94800,"50,000원",1598715,"5,000원",10,14,16,18,27,28,4
755,2017.05.20,8,"2,214,427,266원",54,"54,677,217원",1845,"1,600,309원",89745,"50,000원",1508502,"5,000원",13,14,26,28,30,36,37
754,2017.05.13,5,"3,427,542,000원",50,"57,125,700원",1856,"1,538,947원",93279,"50,000원",1573739,"5,000원",2,8,17,24,29,31,32
753,2017.05.06,6,"2,711,105,063원",58,"46,743,191원",1934,"1,401,813원",97566,"50,000원",1578072,"5,000원",2,17,19,24,37,41,3
752,2017.04.29,9,"1,870,358,834원",75,"37,407,177원",2036,"1,377,966원",102477,"50,000원",1646451,"5,000원",4,16,20,33,40,43,7
751,2017.04.22,8,"2,097,968,110원",69,"40,540,447원",2210,"1,265,743원",102632,"50,000원",1651438,"5,000원",3,4,16,20,28,44,17
750,2017.04.15,7,"2,522,104,286원",44,"66,873,978원",1779,"1,653,994원",93135,"50,000원",1585532,"5,000원",1,2,15,19,24,36,12
749,2017.04.08,13,"1,350,104,395원",64,"45,706,660원",1985,"1,473,666원",95573,"50,000원",1589197,"5,000원",12,14,24,26,34,45,41
748,2017.04.01,9,"1,928,246,542원",59,"49,023,218원",1937,"1,493,222원",99448,"50,000원",1652756,"5,000원",3,10,13,22,31,32,29
747,2017.03.25,9,"1,903,214,584원",59,"48,386,812원",2217,"1,287,696원",105307,"50,000원",1713003,"5,000원",7,9,12,14,23,28,17
746,2017.03.18,9,"2,038,623,709원",58,"52,723,027원",1904,"1,606,059원",94197,"50,000원",1589291,"5,000원",3,12,33,36,42,45,25
745,2017.03.11,20,"746,822,982원",110,"22,631,000원",3692,"674,272원",141918,"50,000원",1955276,"5,000원",1,2,3,9,12,23,10
744,2017.03.04,15,"1,155,411,575원",61,"47,352,934원",2779,"1,039,414원",109229,"50,000원",1636793,"5,000원",10,15,18,21,34,41,43
743,2017.02.25,7,"2,608,641,000원",46,"66,161,185원",1982,"1,535,527원",91886,"50,000원",1555362,"5,000원",15,19,21,34,41,44,10
742,2017.02.18,16,"1,111,814,813원",44,"67,382,716원",1986,"1,492,870원",98348,"50,000원",1658556,"5,000원",8,10,13,36,37,40,6
741,2017.02.11,6,"3,043,595,938원",55,"55,338,108원",1829,"1,664,077원",95007,"50,000원",1619435,"5,000원",5,21,27,34,44,45,16
740,2017.02.04,18,"936,929,792원",43,"65,367,195원",2447,"1,148,668원",115722,"50,000원",1864169,"5,000원",4,8,9,16,17,19,31
739,2017.01.28,4,"4,744,122,282원",45,"70,283,294원",1942,"1,628,604원",101983,"50,000원",1719739,"5,000원",7,22,29,33,34,35,30
738,2017.01.21,11,"1,634,191,091원",48,"62,417,021원",1640,"1,826,840원",88050,"50,000원",1502685,"5,000원",23,27,28,38,42,43,36
737,2017.01.14,4,"4,283,061,000원",48,"59,486,959원",1937,"1,474,122원",94183,"50,000원",1567166,"5,000원",13,15,18,24,27,41,11
736,2017.01.07,5,"3,397,362,225원",54,"52,428,430원",2250,"1,258,283원",107357,"50,000원",1747634,"5,000원",2,11,17,18,21,27,6
735,2016.12.31,10,"1,847,231,588원",50,"61,574,387원",2269,"1,356,862원",107013,"50,000원",1752740,"5,000원",5,10,13,27,37,41,4
734,2016.12.24,9,"1,949,395,500원",36,"81,224,813원",1758,"1,663,307원",92514,"50,000원",1542069,"5,000원",6,16,37,38,41,45,18
733,2016.12.17,4,"4,016,725,125원",57,"46,979,242원",1966,"1,362,064원",101369,"50,000원",1633952,"5,000원",11,24,32,33,35,40,13
732,2016.12.10,7,"2,203,270,608원",45,"57,121,831원",2061,"1,247,202원",104583,"50,000원",1705993,"5,000원",2,4,5,17,27,32,43
731,2016.12.03,7,"2,340,471,054원",45,"60,678,880원",1908,"1,431,106원",96083,"50,000원",1594258,"5,000원",2,7,13,25,42,45,39
730,2016.11.26,8,"2,017,382,110원",45,"59,774,285원",1741,"1,544,999원",88791,"50,000원",1501752,"5,000원",4,10,14,15,18,22,39
729,2016.11.19,4,"4,198,250,719원",35,"79,966,681원",1875,"1,492,712원",89560,"50,000원",1504682,"5,000원",11,17,21,26,36,45,16
728,2016.11.12,5,"3,243,464,400원",56,"48,265,840원",1869,"1,446,168원",94693,"50,000원",1559062,"5,000원",3,6,10,30,34,37,36
727,2016.11.05,14,"1,115,107,742원",87,"29,907,105원",2064,"1,260,620원",99271,"50,000원",1600135,"5,000원",7,8,10,19,21,31,20
726,2016.10.29,14,"1,166,872,634원",56,"48,619,694원",2099,"1,297,143원",96718,"50,000원",1556425,"5,000원",1,11,21,23,34,44,24
725,2016.10.22,11,"1,579,217,250원",47,"61,600,673원",1795,"1,612,943원",88359,"50,000원",1504907,"5,000원",6,7,19,21,41,43,38
724,2016.10.15,12,"1,427,789,813원",55,"51,919,630원",1833,"1,557,873원",90083,"50,000원",1528970,"5,000원",2,8,33,35,37,41,14
723,2016.10.08,8,"2,114,365,360원",40,"70,478,846원",1777,"1,586,469원",85141,"50,000원",1412967,"5,000원",20,30,33,35,36,44,22
722,2016.10.01,4,"4,365,422,719원",46,"63,266,996원",1688,"1,724,101원",84912,"50,000원",1439078,"5,000원",12,14,21,30,39,43,45
721,2016.09.24,8,"2,273,767,360원",40,"75,792,246원",1607,"1,886,553원",84770,"50,000원",1464353,"5,000원",1,28,35,41,43,44,31
720,2016.09.17,14,"1,233,770,358원",37,"77,805,338원",1778,"1,619,122원",88260,"50,000원",1505233,"5,000원",1,12,29,34,36,37,41
719,2016.09.10,9,"1,879,581,334원",58,"48,609,863원",2020,"1,395,729원",99906,"50,000원",1627784,"5,000원",4,8,13,19,20,43,26
718,2016.09.03,17,"926,166,464원",64,"41,002,162원",2404,"1,091,572원",114614,"50,000원",1595315,"5,000원",4,11,20,23,32,39,40
717,2016.08.27,6,"2,702,433,688원",47,"57,498,590원",1974,"1,369,015원",96836,"50,000원",1567530,"5,000원",2,11,19,25,28,32,44
716,2016.08.20,12,"1,358,752,157원",35,"77,642,981원",1743,"1,559,096원",88628,"50,000원",1469730,"5,000원",2,6,13,16,29,30,21
715,2016.08.13,6,"2,605,510,438원",61,"42,713,286원",1873,"1,391,090원",90747,"50,000원",1503174,"5,000원",2,7,27,33,41,44,10
714,2016.08.06,7,"2,085,131,733원",46,"52,883,776원",2029,"1,198,943원",96576,"50,000원",1551993,"5,000원",1,7,22,33,37,40,20
713,2016.07.30,9,"1,714,720,917원",50,"51,441,628원",1791,"1,436,115원",87920,"50,000원",1470125,"5,000원",2,5,15,18,19,23,44
712,2016.07.23,4,"4,034,485,125원",47,"57,226,740원",1727,"1,557,416원",86066,"50,000원",1449521,"5,000원",17,20,30,31,33,45,19
711,2016.07.16,7,"2,277,413,358원",44,"60,385,961원",1865,"1,424,656원",89898,"50,000원",1465123,"5,000원",11,15,24,35,37,45,42
710,2016.07.09,5,"2,895,441,150원",57,"42,331,011원",1990,"1,212,497원",102058,"50,000원",1627229,"5,000원",3,4,9,24,25,33,10
709,2016.07.02,14,"1,165,271,625원",44,"61,794,708원",1696,"1,603,165원",82305,"50,000원",1385853,"5,000원",10,18,30,36,39,44,32
708,2016.06.25,4,"4,099,552,219원",52,"52,558,362원",1712,"1,596,399원",86091,"50,000원",1446865,"5,000원",2,10,16,19,34,45,1
707,2016.06.18,12,"1,322,167,313원",74,"35,734,252원",2006,"1,318,213원",94281,"50,000원",1507647,"5,000원",2,12,19,24,39,44,35
706,2016.06.11,4,"3,831,746,063원",51,"50,088,184원",2108,"1,211,811원",95376,"50,000원",1531393,"5,000원",3,4,6,10,28,30,37
705,2016.06.04,4,"3,987,206,532원",49,"54,247,708원",1805,"1,472,653원",87931,"50,000원",1453654,"5,000원",1,6,17,22,28,45,23
704,2016.05.28,4,"3,865,190,344원",47,"54,825,395원",1906,"1,351,938원",95021,"50,000원",1519932,"5,000원",1,4,8,23,33,42,45
703,2016.05.21,5,"3,235,784,100원",51,"52,872,290원",1719,"1,568,637원",84194,"50,000원",1416580,"5,000원",10,28,31,33,41,44,21
702,2016.05.14,11,"1,465,091,387원",46,"58,391,324원",1819,"1,476,636원",88043,"50,000원",1443954,"5,000원",3,13,16,24,26,29,9
701,2016.05.07,10,"1,583,183,175원",40,"65,965,966원",1659,"1,590,500원",81917,"50,000원",1404422,"5,000원",3,10,14,16,36,38,35
700,2016.04.30,8,"2,082,099,188원",41,"67,710,543원",1562,"1,777,294원",82874,"50,000원",1414076,"5,000원",11,23,28,29,30,44,13
699,2016.04.23,8,"1,995,411,375원",50,"53,210,970원",1799,"1,478,905원",90504,"50,000원",1512397,"5,000원",4,5,8,16,21,29,3
698,2016.04.16,8,"1,921,084,125원",48,"53,363,448원",2088,"1,226,746원",97965,"50,000원",1550364,"5,000원",3,11,13,21,33,37,18
697,2016.04.09,10,"1,531,443,038원",90,"28,360,057원",1940,"1,315,673원",99698,"50,000원",1615786,"5,000원",2,5,8,11,33,39,31
696,2016.04.02,10,"1,632,054,413원",44,"61,820,243원",1721,"1,580,530원",90020,"50,000원",1501952,"5,000원",1,7,16,18,34,38,21
695,2016.03.26,11,"1,450,214,830원",66,"40,283,746원",1979,"1,343,471원",95436,"50,000원",1558885,"5,000원",4,18,26,33,34,38,14
694,2016.03.19,10,"1,555,036,388원",78,"33,227,274원",2286,"1,133,739원",102474,"50,000원",1581822,"5,000원",7,15,20,25,33,43,12
693,2016.03.12,10,"1,642,763,813원",43,"63,673,016원",1692,"1,618,168원",87017,"50,000원",1484420,"5,000원",1,6,11,28,34,42,30
692,2016.03.05,7,"2,301,273,697원",44,"61,018,621원",1770,"1,516,848원",87763,"50,000원",1465709,"5,000원",3,11,14,15,32,36,44
691,2016.02.27,6,"2,839,296,750원",31,"91,590,218원",1708,"1,662,352원",86063,"50,000원",1455528,"5,000원",15,27,33,35,43,45,16
690,2016.02.20,15,"1,126,507,625원",34,"82,831,444원",1772,"1,589,317원",87970,"50,000원",1528472,"5,000원",24,25,33,34,38,39,43
689,2016.02.13,7,"2,321,775,911원",44,"61,562,241원",1809,"1,497,368원",90296,"50,000원",1509073,"5,000원",7,17,19,30,36,38,34
688,2016.02.06,9,"1,967,536,750원",53,"55,685,003원",2107,"1,400,715원",97676,"50,000원",1610713,"5,000원",5,15,22,23,34,35,2
687,2016.01.30,6,"2,720,029,313원",38,"71,579,719원",1780,"1,528,107원",91404,"50,000원",1538380,"5,000원",1,8,10,13,28,42,45
686,2016.01.23,8,"1,937,531,719원",36,"71,760,435원",1863,"1,386,676원",91027,"50,000원",1483730,"5,000원",7,12,15,24,25,43,13
685,2016.01.16,11,"1,494,367,671원",52,"52,686,040원",1910,"1,434,385원",95302,"50,000원",1576169,"5,000원",6,7,12,28,38,40,18
684,2016.01.09,9,"1,688,815,709원",62,"40,858,445원",1968,"1,287,208원",98607,"50,000원",1623161,"5,000원",1,11,15,17,25,39,40
683,2016.01.02,16,"1,010,930,883원",45,"59,907,016원",2704,"996,974원",117974,"50,000원",1700964,"5,000원",6,13,20,27,28,40,15
682,2015.12.26,4,"4,063,713,563원",56,"48,377,543원",1851,"1,463,611원",87618,"50,000원",1464978,"5,000원",17,23,27,35,38,43,2
681,2015.12.19,6,"2,696,328,938원",37,"72,873,756원",1441,"1,871,152원",73062,"50,000원",1282079,"5,000원",21,24,27,29,43,44,7
680,2015.12.12,14,"1,110,570,563원",44,"58,893,894원",1870,"1,385,739원",86441,"50,000원",1413980,"5,000원",4,10,19,29,32,42,30
679,2015.12.05,5,"2,863,005,600원",54,"44,182,186원",1829,"1,304,450원",91171,"50,000원",1493041,"5,000원",3,5,7,14,26,34,35
678,2015.11.28,6,"2,288,490,188원",41,"55,816,834원",1855,"1,233,688원",93305,"50,000원",1494095,"5,000원",4,5,6,12,25,37,45
677,2015.11.21,8,"1,921,114,407원",37,"69,229,348원",1701,"1,505,871원",79827,"50,000원",1330115,"5,000원",12,15,24,36,41,44,42
676,2015.11.14,8,"1,879,726,500원",63,"39,782,572원",1665,"1,505,287원",83276,"50,000원",1371921,"5,000원",1,8,17,34,39,45,27
675,2015.11.07,4,"3,514,549,032원",65,"36,046,657원",1806,"1,297,361원",88118,"50,000원",1415830,"5,000원",1,8,11,15,18,45,7
674,2015.10.31,8,"1,770,565,500원",48,"49,182,375원",1846,"1,278,849원",89646,"50,000원",1465031,"5,000원",9,10,14,25,27,31,11
673,2015.10.24,10,"1,491,453,300원",35,"71,021,586원",1864,"1,333,560원",88838,"50,000원",1450769,"5,000원",7,10,17,29,33,44,5
672,2015.10.17,9,"1,754,745,000원",46,"57,219,946원",1629,"1,615,788원",80167,"50,000원",1341175,"5,000원",8,21,28,31,36,45,43
671,2015.10.10,4,"3,722,322,844원",48,"51,698,929원",1778,"1,395,697원",90364,"50,000원",1519963,"5,000원",7,9,10,13,31,35,24
670,2015.10.03,12,"1,191,725,219원",39,"61,114,114원",2145,"1,111,166원",92680,"50,000원",1483948,"5,000원",11,18,26,27,40,41,25
669,2015.09.26,6,"2,708,173,188원",52,"52,080,254원",1949,"1,389,520원",93078,"50,000원",1531364,"5,000원",7,8,20,29,33,38,9
668,2015.09.19,5,"2,991,158,625원",56,"44,511,290원",1873,"1,330,824원",89414,"50,000원",1452289,"5,000원",12,14,15,24,27,32,3
667,2015.09.12,7,"2,228,764,393원",40,"65,005,629원",1543,"1,685,176원",81344,"50,000원",1368363,"5,000원",15,17,25,37,42,43,13
666,2015.09.05,6,"2,396,901,063원",47,"50,997,895원",1947,"1,231,074원",93631,"50,000원",1493940,"5,000원",2,4,6,11,17,28,16
665,2015.08.29,4,"3,643,230,375원",30,"80,960,675원",1790,"1,356,883원",87227,"50,000원",1430205,"5,000원",5,6,11,17,38,44,13
664,2015.08.22,10,"1,536,801,338원",44,"58,212,172원",1530,"1,674,076원",77395,"50,000원",1320082,"5,000원",10,20,33,36,41,44,5
663,2015.08.15,7,"2,080,244,143원",60,"40,449,192원",1627,"1,491,673원",84092,"50,000원",1386028,"5,000원",3,5,8,19,38,42,20
662,2015.08.08,8,"1,689,733,688원",43,"52,394,844원",1787,"1,260,761원",88493,"50,000원",1426759,"5,000원",5,6,9,11,15,37,26
661,2015.08.01,8,"1,713,025,547원",63,"36,254,509원",1830,"1,248,107원",87840,"50,000원",1426883,"5,000원",2,3,12,20,27,38,40
660,2015.07.25,10,"1,421,272,575원",48,"49,349,743원",1951,"1,214,141원",88247,"50,000원",1408802,"5,000원",4,9,23,33,39,44,14
659,2015.07.18,11,"1,336,604,216원",40,"61,261,027원",1765,"1,388,352원",85028,"50,000원",1396789,"5,000원",7,18,19,27,29,42,45
658,2015.07.11,9,"1,634,031,375원",38,"64,501,239원",1678,"1,460,696원",82738,"50,000원",1364069,"5,000원",8,19,25,28,32,36,37
657,2015.07.04,9,"1,694,762,792원",52,"48,887,389원",1562,"1,627,494원",78396,"50,000원",1325593,"5,000원",10,14,19,39,40,43,23
656,2015.06.27,2,"7,330,002,750원",48,"50,902,797원",1747,"1,398,589원",83772,"50,000원",1385757,"5,000원",3,7,14,16,31,40,39
655,2015.06.20,9,"1,661,439,625원",41,"60,784,377원",1610,"1,547,926원",77437,"50,000원",1281655,"5,000원",7,37,38,39,40,44,18
654,2015.06.13,8,"1,879,301,391원",69,"36,315,003원",1787,"1,402,203원",77788,"50,000원",1282725,"5,000원",16,21,26,31,36,43,6
653,2015.06.06,14,"980,958,670원",56,"40,873,278원",1997,"1,146,172원",88995,"50,000원",1419408,"5,000원",5,6,26,27,38,39,1
652,2015.05.30,5,"3,003,483,525원",36,"69,525,082원",1504,"1,664,165원",75739,"50,000원",1280663,"5,000원",3,13,15,40,41,44,20
651,2015.05.23,8,"1,855,306,454원",35,"70,678,342원",1684,"1,468,968원",82567,"50,000원",1365832,"5,000원",11,12,16,26,29,44,18
650,2015.05.16,5,"2,849,298,900원",45,"52,764,795원",1814,"1,308,940원",87030,"50,000원",1429743,"5,000원",3,4,7,11,31,41,35
649,2015.05.09,5,"2,948,042,100원",45,"54,593,373원",1689,"1,454,531원",80347,"50,000원",1313125,"5,000원",3,21,22,33,41,42,20
648,2015.05.02,7,"2,120,987,947원",45,"54,988,577원",1631,"1,517,159원",80986,"50,000원",1318403,"5,000원",13,19,28,37,38,43,4
